City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,sasaguri,33.6167,130.5333,28.94,73,94,6.69,JP,1721314943
152,kununurra,-15.7667,128.7333,9.99,76,91,0.0,AU,1721314944
153,rudsar,37.1376,50.288,27.99,63,26,2.09,IR,1721314945
154,iqaluit,63.7506,-68.5145,2.85,100,100,8.75,CA,1721314856
155,tsiombe,-25.3,45.4833,19.77,78,49,3.7,MG,1721314947
156,boyolangu,-8.1181,111.8935,22.77,95,71,2.18,ID,1721314948
157,cardenas,23.0375,-81.2047,29.74,67,62,3.31,CU,1721314950
158,fort st. john,56.2499,-120.8529,22.94,35,40,5.14,CA,1721314951
159,saint-denis,48.9167,2.3333,30.69,36,0,3.09,FR,1721314952
160,port lincoln,-34.7333,135.8667,12.29,56,100,8.58,AU,1721314954
161,konakovo,56.7,36.7667,23.47,80,99,0.97,RU,1721314956
162,enewetak,11.3474,162.3373,27.55,83,100,5.89,MH,1721314957
163,kavieng,-2.5744,150.7967,27.41,83,94,3.75,PG,1721314959
164,callao,-12.0667,-77.15,18.18,72,100,3.09,PE,1721314960
165,pahrump,36.2083,-115.9839,32.36,25,66,0.89,US,1721314923
166,fethiye,36.6217,29.1164,30.93,41,66,1.61,TR,1721314962
167,crane,31.3974,-102.3501,26.15,57,53,5.32,US,1721314965
168,jianshui,23.6363,102.8264,20.91,94,81,1.18,CN,1721314966
169,aykhal,66.0,111.5,15.5,57,100,3.36,RU,1721314967
170,port antonio,18.18,-76.4612,30.95,66,1,3.84,JM,1721314968
171,tchibanga,-2.85,11.0333,29.92,49,42,3.88,GA,1721314969
172,jalapa,19.5333,-96.9167,21.01,71,100,1.4,MX,1721314970
173,turkmenbasy,40.0222,52.9552,34.43,21,0,8.75,TM,1721314971
174,sao joao da barra,-21.6403,-41.0511,27.05,62,0,1.65,BR,1721314973
175,swakopmund,-22.6833,14.5333,14.43,80,21,3.58,NA,1721314974
176,olathe,38.8814,-94.8191,25.0,63,45,1.79,US,1721314856
177,tazovsky,67.4667,78.7,15.84,69,66,3.07,RU,1721314976
178,tiksi,71.6872,128.8694,5.31,84,99,3.0,RU,1721314977
179,sapele,5.8941,5.6767,26.9,80,90,4.16,NG,1721314979
180,knyaze-volkonskoye,48.4642,135.4567,22.19,100,100,2.33,RU,1721314980
181,st. john's,47.5649,-52.7093,23.42,87,40,3.6,CA,1721314718
182,sault ste. marie,46.5168,-84.3333,19.16,67,0,4.63,CA,1721314697
183,khenifra,32.9333,-5.6667,36.68,16,93,8.65,MA,1721314984
184,saint-philippe,-21.3585,55.7679,21.77,62,0,2.28,RE,1721314985
185,valenca do piaui,-6.4075,-41.7456,32.94,32,41,3.62,BR,1721314986
186,lerwick,60.1545,-1.1494,15.0,90,89,6.21,GB,1721314988
187,hasaki,35.7333,140.8333,25.22,93,100,4.99,JP,1721314989
188,janakpur,26.7183,85.9065,32.75,65,92,3.62,NP,1721314990
189,vadso,70.0744,29.7487,17.09,67,39,7.72,NO,1721314991
190,minas de marcona,-15.2119,-75.1103,14.45,60,3,3.55,PE,1721314992
191,mont-tremblant,46.1949,-74.6264,17.77,82,100,1.03,CA,1721314917
192,tolanaro,-25.0319,46.9987,23.04,78,75,7.2,MG,1721314994
193,sao joao da pesqueira,41.1108,-7.4338,33.0,17,0,4.96,PT,1721314996
194,uturoa,-16.7333,-151.4333,24.84,81,22,2.24,PF,1721314997
195,aripuana,-9.1667,-60.6333,31.9,28,0,1.96,BR,1721314998
196,angaur state,6.906,134.13,27.72,80,100,5.64,PW,1721314999
197,ungaran,-7.1397,110.405,25.81,74,26,2.57,ID,1721315000
198,bandar-e lengeh,26.5579,54.8807,36.06,67,100,2.06,IR,1721315001
199,kryve ozero,47.9524,30.3493,36.66,22,83,6.48,UA,1721315002
200,anadyr,64.75,177.4833,12.28,87,0,3.58,RU,1721315005
201,kuala terengganu,5.3302,103.1408,28.97,89,40,1.03,MY,1721315006
202,nova vicosa,-17.8919,-39.3719,26.95,56,1,3.24,BR,1721315007
203,zahedan,29.4963,60.8629,33.95,16,36,7.2,IR,1721315008
204,pemba,-12.974,40.5178,26.79,69,20,7.2,MZ,1721315009
205,bafq,31.6128,55.4107,39.91,10,0,8.31,IR,1721315010
206,georgetown,5.4112,100.3354,30.97,63,20,3.13,MY,1721315011
207,kisanga,-7.4362,37.7034,27.94,45,79,2.27,TZ,1721315013
208,san antonio de pale,-1.4014,5.6325,22.71,80,59,5.91,GQ,1721315014
209,jumla,29.2747,82.1838,16.97,95,93,1.24,NP,1721315015
210,nanao,37.05,136.9667,26.85,80,100,0.3,JP,1721315016
211,machico,32.7,-16.7667,25.62,73,40,3.09,PT,1721315017
212,kristinestad,62.2743,21.376,16.72,94,98,1.62,FI,1721315018
213,argo,37.6333,22.7333,35.99,18,0,7.29,GR,1721315019
214,karnobat,42.65,26.9833,31.91,27,100,4.56,BG,1721315021
215,namdrik,5.5994,168.1028,27.96,77,99,3.15,MH,1721315022
216,petauke,-14.2426,31.3253,26.45,19,25,3.01,ZM,1721315023
217,monte argentario,42.4345,11.1195,26.2,69,0,5.59,IT,1721315024
218,koulikoro,14.0,-7.75,26.69,66,100,3.1,ML,1721315025
219,kuanda,56.3161,116.0806,17.82,75,100,0.47,RU,1721315026
220,pitimbu,-7.4706,-34.8086,29.33,71,91,7.18,BR,1721315027
221,port alfred,-33.5906,26.891,17.32,71,23,0.89,ZA,1721315029
222,egilsstadir,65.2653,-14.3948,14.95,67,40,7.2,IS,1721315030
223,kapa'a,22.0752,-159.319,22.83,79,38,4.71,US,1721315032
224,kalispell,48.1958,-114.3129,23.42,54,0,1.34,US,1721315033
225,tamalin,21.35,-97.8,25.77,88,100,1.36,MX,1721315034
226,tamiahua,21.2667,-97.45,27.42,83,100,0.54,MX,1721314861
227,taulaga,-11.0553,-171.0883,28.12,71,100,9.22,AS,1721315038
228,port saint john's,-31.6229,29.5448,21.14,54,0,4.49,ZA,1721315039
229,sur,22.5667,59.5289,33.24,58,100,6.41,OM,1721315040
230,tshikapa,-6.4167,20.8,37.29,11,39,1.98,CD,1721315041
231,kidal,18.4411,1.4078,43.01,8,0,3.22,ML,1721315043
232,gamba,-2.65,10.0,24.15,75,31,4.2,GA,1721315044
233,pangoa,-12.1167,-73.0,25.87,52,0,1.06,PE,1721315045
234,pedernales,18.0384,-71.744,31.62,56,100,1.61,DO,1721315046
235,mar del plata,-38.0023,-57.5575,14.18,77,40,7.6,AR,1721314607
236,matamey,13.4231,8.4749,36.53,31,6,4.23,NE,1721315048
237,severnoye,56.3491,78.3619,16.74,96,99,1.09,RU,1721315050
238,oriximina,-1.7656,-55.8661,33.72,36,28,2.94,BR,1721315051
239,snyder,32.7179,-100.9176,26.67,57,0,6.69,US,1721314827
240,jwaneng,-24.6004,24.7303,24.51,7,0,3.77,BW,1721315053
241,sinjar,36.3209,41.8754,39.36,14,0,4.83,IQ,1721315054
242,severo-yeniseyskiy,60.3725,93.0408,19.32,68,100,1.81,RU,1721315055
243,nyurba,63.2842,118.3319,12.82,74,8,2.56,RU,1721315056
244,doka,13.5167,35.7667,31.4,50,99,3.48,SD,1721315058
245,booue,-0.0921,11.9385,30.57,51,88,1.61,GA,1721315059
246,sungai penuh,-2.0833,101.3833,20.53,93,80,0.33,ID,1721315060
